name,mod,rate,time,conf,case,stderr
xor,32,0.95,2056.5266112627305,86.85697904911835,400,1737.139580982367
xor,32,1.0,1073.0893773827536,42.31946405876386,400,846.3892811752772
xor,32,1.05,606.4422147137303,21.650439522105394,400,433.00879044210785
xor,32,1.1,421.5102036088915,13.889084940507303,400,277.78169881014605
xor,32,1.2,248.52750576107934,6.809546765767729,400,136.19093531535458
xor,32,1.4,123.04640649779645,2.6577749738230803,400,53.15549947646161
xor,32,1.6,80.90790241033872,1.628832133022067,400,32.57664266044134
xor,32,2.0,45.37726220555032,0.6842080111696384,400,13.684160223392768
xor,32,4.0,12.9161728096837,0.14653306548737882,400,2.9306613097475767
xor,32,8.0,5.1002213420706255,0.0529986113732133,400,1.059972227464266
xor,32,10.0,3.909118340312799,0.037478507142016046,400,0.749570142840321
xor,64,0.9,167295.20466498847,8301.164957585985,400,166023.2991517197
xor,64,0.95,18746.101515751878,845.7622244652272,400,16915.244489304543
xor,64,1.0,4306.860073567585,188.2005107323796,400,3764.010214647592
xor,64,1.05,1869.0408266037352,63.70826257801947,400,1274.1652515603894
xor,64,1.1,980.155733495221,26.030676316623843,400,520.6135263324769
xor,64,1.2,522.7479536886129,9.499999926313388,400,189.99999852626775
xor,64,1.4,263.6884005819022,4.156890664729133,400,83.13781329458266
xor,64,1.6,170.23113783437853,2.289323916693145,400,45.7864783338629
xor,64,2.0,93.31516788366845,1.0116499137469892,400,20.232998274939785
xor,64,4.0,26.227728139792106,0.21425380233302152,400,4.28507604666043
xor,64,8.0,10.15163087031049,0.07573926186590822,400,1.5147852373181645
xor,64,10.0,7.7256742771316915,0.06043292630566452,400,1.2086585261132905
xor,128,0.95,507627.80285308516,54799.977484496434,100,547999.7748449644
xor,128,1.0,15435.273085386436,679.2013944875999,400,13584.027889751998
xor,128,1.05,3869.1473721969546,94.91742366558736,400,1898.3484733117473
xor,128,1.1,2213.430937319869,42.32511483039307,400,846.5022966078614
xor,128,1.2,1109.6381957783647,16.999062909983625,400,339.9812581996725
xor,128,1.4,538.806995099119,5.638718837806327,400,112.77437675612654
xor,128,1.6,341.0648647925409,3.191508492884712,400,63.83016985769424
xor,128,2.0,189.96030489941128,1.5941434372473429,400,31.882868744946858
xor,128,4.0,53.740623335835025,0.36416733782434885,400,7.283346756486977
xor,128,8.0,20.53797144156385,0.1050071356081179,400,2.100142712162358
xor,128,10.0,15.520180898043165,0.08821363374892222,400,1.7642726749784443
